Wall time,Step,Value
1552746597.7565684,0,-831.0
1552746637.1950426,1,-976.0
1552746667.7969522,2,-978.0
1552746707.2435088,3,-979.0
1552746740.8996086,4,-855.0
1552746777.4729226,5,-984.0
1552746816.5688918,6,-977.0
1552746848.2449813,7,-978.0
1552746887.9060748,8,-977.0
1552746919.327135,9,-977.0
1552746959.0917544,10,-984.0
1552746996.476665,11,-952.0
1552747030.5827317,12,-932.0
1552747070.5657988,13,-977.0
1552747103.2352784,14,-977.0
1552747143.0833967,15,-805.0
1552747179.2409377,16,-803.0
1552747215.5854144,17,-794.0
1552747254.1399508,18,-814.0
1552747288.4482706,19,-778.0
1552747328.6271825,20,-785.0
1552747364.9427853,21,-792.0
1552747401.9800425,22,-785.0
1552747440.5137088,23,-786.0
1552747476.2374442,24,-802.0
1552747516.1809993,25,-791.0
1552747553.1973968,26,-801.0
1552747590.5639331,27,-810.0
1552747629.243353,28,-817.0
1552747665.1598122,29,-814.0
1552747705.0090892,30,-821.0
1552747742.4628494,31,-833.0
1552747780.644692,32,-811.0
1552747819.4198642,33,-1000.0
1552747856.7059114,34,-1000.0
1552747896.6269684,35,-1000.0
1552747934.816678,36,-1000.0
1552747973.3445737,37,-773.0
1552748013.1745942,38,-757.0
1552748051.420314,39,-760.0
1552748090.908572,40,-741.0
1552748130.609338,41,-740.0
1552748169.5380201,42,-731.0
1552748209.5537777,43,-739.0
1552748248.7459373,44,-739.0
1552748288.849594,45,-740.0
1552748328.6122348,46,-735.0
1552748367.729337,47,-731.0
1552748408.9605093,48,-737.0
1552748448.3594668,49,-732.0
1552748487.8356817,50,-728.0
1552748528.6673174,51,-723.0
1552748568.5065053,52,-727.0
1552748609.2505574,53,-730.0
1552748649.7904258,54,-732.0
1552748689.5015347,55,-720.0
1552748730.7797463,56,-711.0
1552748771.0587046,57,-717.0
1552748810.928139,58,-720.0
1552748852.5285633,59,-699.0
1552748892.7864752,60,-711.0
1552748933.2419963,61,-706.0
1552748974.6114178,62,-712.0
1552749015.278041,63,-708.0
1552749056.3754015,64,-707.0
1552749097.7546089,65,-709.0
1552749138.7911508,66,-706.0
1552749180.3625407,67,-705.0
1552749221.9587467,68,-715.0
1552749263.0914993,69,-706.0
1552749305.5483966,70,-712.0
1552749347.2381508,71,-713.0
1552749388.724004,72,-716.0
1552749431.4139192,73,-715.0
1552749473.7672417,74,-715.0
1552749516.1915984,75,-720.0
1552749558.6442313,76,-706.0
1552749600.6609144,77,-706.0
1552749642.3865173,78,-704.0
1552749684.9400244,79,-697.0
1552749726.6479683,80,-692.0
1552749768.8563974,81,-698.0
1552749811.6276343,82,-688.0
1552749853.9085279,83,-689.0
1552749896.2234583,84,-689.0
1552749939.5488243,85,-690.0
1552749982.2601187,86,-695.0
1552750025.5114617,87,-688.0
1552750069.0552046,88,-692.0
1552750112.0321388,89,-699.0
1552750155.7060573,90,-686.0
1552750199.4822903,91,-693.0
1552750243.3624904,92,-690.0
1552750287.3412697,93,-686.0
1552750331.2984567,94,-692.0
1552750375.3725815,95,-688.0
1552750419.508464,96,-687.0
1552750463.8281202,97,-688.0
1552750508.2501988,98,-687.0
1552750552.6958518,99,-687.0
1552750598.2116687,100,-686.0
1552750643.6300907,101,-686.0
1552750688.7918959,102,-687.0
1552750733.801955,103,-690.0
1552750778.6352825,104,-687.0
1552750823.5561495,105,-696.0
1552750868.9003115,106,-694.0
1552750914.3819635,107,-695.0
1552750960.1068718,108,-696.0
1552751006.3608356,109,-691.0
1552751055.553601,110,-693.0
1552751103.5454059,111,-692.0
1552751150.662891,112,-687.0
1552751198.1029563,113,-696.0
1552751245.417512,114,-694.0
1552751292.3514838,115,-702.0
1552751339.371288,116,-696.0
1552751386.4342012,117,-698.0
1552751433.767984,118,-705.0
