
Analysing: [26-02-2019/ddpg_run_3]

	 Eps 	|	 Train Score 	|	 Inf Score 	
	 --- 	|	 ----------- 	|	 --------- 	
	 42 	|	 259 		|	 -1999 	
	 5 	|	 421 		|	 -1999 	
	 48 	|	 272 		|	 -1999 	
	 52 	|	 263 		|	 -1999 	
	 38 	|	 171 		|	 -1999 	
	 54 	|	 247 		|	 -1999 	
	 84 	|	 241 		|	 -1999 	
	 93 	|	 234 		|	 -373 	
	 79 	|	 271 		|	 -359 	
	 90 	|	 268 		|	 -317 	
	 86 	|	 285 		|	 -228 	


Analysing: [02-03-2019/ddpg_run_1]

	 Eps 	|	 Train Score 	|	 Inf Score 	
	 --- 	|	 ----------- 	|	 --------- 	
	 0 	|	 1837 		|	 -1999 	
	 52 	|	 162 		|	 -1999 	
	 39 	|	 180 		|	 -1999 	
	 48 	|	 103 		|	 -1999 	
	 15 	|	 283 		|	 -1999 	
	 12 	|	 435 		|	 -1999 	
	 28 	|	 203 		|	 -1999 	
	 37 	|	 208 		|	 -1999 	
	 40 	|	 195 		|	 -1999 	
	 24 	|	 194 		|	 -1999 	
	 45 	|	 207 		|	 -1999 	
	 64 	|	 128 		|	 -1999 	
	 33 	|	 297 		|	 -1999 	
	 14 	|	 237 		|	 -1999 	
	 19 	|	 194 		|	 -1999 	
	 46 	|	 165 		|	 -1999 	
	 3 	|	 1398 		|	 -1999 	
	 43 	|	 161 		|	 -1999 	
	 55 	|	 157 		|	 -1999 	
	 13 	|	 337 		|	 -551 	
	 27 	|	 244 		|	 -394 	
	 25 	|	 172 		|	 -378 	
	 20 	|	 232 		|	 -363 	
	 34 	|	 271 		|	 -340 	
	 35 	|	 141 		|	 -308 	
	 60 	|	 155 		|	 -306 	
	 57 	|	 178 		|	 -303 	
	 58 	|	 232 		|	 -300 	
	 53 	|	 125 		|	 -246 	


Analysing: [02-03-2019/ddpg_run_2]

	 Eps 	|	 Train Score 	|	 Inf Score 	
	 --- 	|	 ----------- 	|	 --------- 	
	 6 	|	 381 		|	 -1999 	
	 61 	|	 281 		|	 -1999 	
	 60 	|	 145 		|	 -1999 	
	 7 	|	 283 		|	 -1999 	
	 0 	|	 1276 		|	 -1999 	
	 70 	|	 298 		|	 -1999 	
	 73 	|	 283 		|	 -1999 	
	 67 	|	 285 		|	 -1999 	
	 4 	|	 800 		|	 -626 	
	 58 	|	 150 		|	 -444 	
	 47 	|	 198 		|	 -338 	
	 37 	|	 282 		|	 -330 	
	 71 	|	 145 		|	 -317 	
	 11 	|	 252 		|	 -277 	
	 20 	|	 289 		|	 -271 	


Analysing: [02-03-2019/ddpg_run_3]

