Wall time,Step,Value
1551626042.2893023,0,-1774.2816162109375
1551626056.5965276,1,-1473.9957275390625
1551626072.0928237,2,-1587.7698974609375
1551626088.9971247,3,-1195.8975830078125
1551626106.4110212,4,-405.3074951171875
1551626124.297559,5,-324.8650817871094
1551626142.9253151,6,-152.31565856933594
1551626161.7716029,7,-237.39559936523438
1551626181.0996892,8,-1999.9945068359375
1551626201.5456986,9,-225.93763732910156
1551626221.4862075,10,-1999.9947509765625
1551626243.8028114,11,-211.07211303710938
1551626264.4615462,12,-251.95237731933594
1551626285.679789,13,-148.51425170898438
1551626308.0062182,14,-1999.99609375
1551626331.6774309,15,-1999.9964599609375
1551626355.9496624,16,-1999.9959716796875
1551626381.0038307,17,-1999.996337890625
1551626406.8712647,18,-1999.995849609375
1551626433.0232637,19,-217.74293518066406
1551626457.0638256,20,-395.17913818359375
1551626484.0154166,21,-1999.9954833984375
1551626511.370633,22,-1999.9927978515625
1551626539.1415231,23,-1999.9964599609375
1551626567.8744416,24,-379.42877197265625
1551626597.235639,25,-1999.99658203125
1551626626.937941,26,-309.142333984375
1551626657.7227793,27,-254.9904022216797
1551626686.629864,28,-1999.9952392578125
1551626718.4702692,29,-1999.9964599609375
1551626750.6776285,30,-1999.9951171875
1551626783.778218,31,-250.89613342285156
1551626816.2924488,32,-1999.9951171875
1551626850.406735,33,-250.35757446289062
1551626882.1176043,34,-1999.994384765625
1551626917.4079804,35,-181.52334594726562
1551626950.9069285,36,-1999.9942626953125
1551626987.7966704,37,-1999.9947509765625
1551627024.3637562,38,-332.226806640625
1551627061.9471033,39,-314.4702453613281
1551627099.579755,40,-1999.9945068359375
1551627137.9171326,41,-187.36923217773438
1551627174.0944164,42,-238.27696228027344
1551627210.4203274,43,-212.61180114746094
1551627247.1956358,44,-1999.99609375
1551627288.4136283,45,-184.8583984375
1551627326.5085454,46,-1999.9937744140625
1551627368.7352886,47,-1999.99462890625
1551627412.5214605,48,-264.73138427734375
1551627453.1361175,49,-170.1488494873047
1551627494.7127419,50,-1999.9940185546875
